ID,Type,Longitude,Latitude
HB-S08,WTG,001° 55' 58.117" E,53° 59' 6.335" N
HB-S09,WTG,001° 54' 51.178" E,53° 59' 8.020" N
HB-S11,WTG,001° 53' 39.952" E,53° 59' 9.800" N
HB-S12,WTG,001° 52' 17.088" E,53° 59' 10.565" N
HB-S14,WTG,001° 51' 4.059" E,53° 59' 10.904" N
HB-S15,WTG,001° 49' 38.882" E,53° 59' 15.968" N
HB-S16,WTG,001° 48' 20.833" E,53° 59' 26.034" N
HB-S26,WTG,001° 35' 57.551" E,53° 59' 40.475" N
HB-S27,WTG,001° 33' 54.442" E,53° 59' 53.699" N
HB-S29,WTG,001° 31' 56.093" E,53° 59' 59.028" N
HB-S30,WTG,001° 30' 8.840" E,54° 0' 1.286" N
HB-S31,WTG,001° 28' 59.550" E,53° 59' 57.443" N
HB-S33,WTG,001° 27' 17.254" E,54° 0' 4.207" N
HB-T17,WTG,001° 46' 17.658" E,53° 59' 42.758" N
HB-T18,WTG,001° 45' 13.419" E,53° 59' 51.873" N
HB-T20,WTG,001° 43' 34.937" E,54° 0' 2.073" N
HB-T21,WTG,001° 42' 32.665" E,54° 0' 7.485" N
HB-T22,WTG,001° 40' 52.140" E,54° 0' 10.121" N
HB-T23,WTG,001° 38' 8.886" E,54° 0' 7.942" N
HB-T25,WTG,001° 36' 39.150" E,54° 0' 15.815" N
HB-T26,WTG,001° 35' 16.475" E,54° 0' 17.330" N
HB-T27,WTG,001° 33' 25.843" E,54° 0' 19.331" N
HB-T29,WTG,001° 31' 31.133" E,54° 0' 21.377" N
HB-T30,WTG,001° 29' 44.281" E,54° 0' 23.254" N
HB-T31,WTG,001° 28' 29.220" E,54° 0' 24.558" N
HB-T33,WTG,001° 26' 52.613" E,54° 0' 26.216" N
HB-Z11,OSS,001° 37' 50.474" E,53° 56' 21.869" N
